Id,Date,segment,state,case_count,year,Month,Week,weekday,day,Festival,Season,Festival1
84,01-04-2017,2,ASSAM,0,2017,4,13,7,1,NA,Summer,0
85,01-04-2017,2,BIHAR,0,2017,4,13,7,1,NA,Summer,0
86,01-04-2017,2,CHHATTISGARH,34,2017,4,13,7,1,NA,Summer,0
87,01-04-2017,2,GUJARAT,0,2017,4,13,7,1,NA,Summer,0
88,01-04-2017,2,HARYANA,0,2017,4,13,7,1,NA,Summer,0
89,01-04-2017,2,JHARKHAND,0,2017,4,13,7,1,NA,Summer,0
90,01-04-2017,2,KERALA,23,2017,4,13,7,1,NA,Summer,0
91,01-04-2017,2,KARNATAKA,165,2017,4,13,7,1,NA,Summer,0
92,01-04-2017,2,MAHARASHTRA,0,2017,4,13,7,1,NA,Summer,0
93,01-04-2017,2,MADHYA PRADESH,36,2017,4,13,7,1,NA,Summer,0
94,01-04-2017,2,ORISSA,111,2017,4,13,7,1,NA,Summer,0
95,01-04-2017,2,PUNJAB,0,2017,4,13,7,1,NA,Summer,0
96,01-04-2017,2,TAMIL NADU,458,2017,4,13,7,1,NA,Summer,0
97,01-04-2017,2,TRIPURA,0,2017,4,13,7,1,NA,Summer,0
98,01-04-2017,2,UTTAR PRADESH,27,2017,4,13,7,1,NA,Summer,0
99,01-04-2017,2,WEST BENGAL,43,2017,4,13,7,1,NA,Summer,0
100,02-04-2017,2,ASSAM,0,2017,4,14,1,2,NA,Summer,0
101,02-04-2017,2,BIHAR,0,2017,4,14,1,2,NA,Summer,0
102,02-04-2017,2,CHHATTISGARH,37,2017,4,14,1,2,NA,Summer,0
103,02-04-2017,2,GUJARAT,5,2017,4,14,1,2,NA,Summer,0
104,02-04-2017,2,HARYANA,0,2017,4,14,1,2,NA,Summer,0
105,02-04-2017,2,JHARKHAND,0,2017,4,14,1,2,NA,Summer,0
106,02-04-2017,2,KERALA,6,2017,4,14,1,2,NA,Summer,0
107,02-04-2017,2,KARNATAKA,89,2017,4,14,1,2,NA,Summer,0
108,02-04-2017,2,MAHARASHTRA,0,2017,4,14,1,2,NA,Summer,0
109,02-04-2017,2,MADHYA PRADESH,0,2017,4,14,1,2,NA,Summer,0
110,02-04-2017,2,ORISSA,148,2017,4,14,1,2,NA,Summer,0
111,02-04-2017,2,PUNJAB,0,2017,4,14,1,2,NA,Summer,0
112,02-04-2017,2,TAMIL NADU,182,2017,4,14,1,2,NA,Summer,0
113,02-04-2017,2,TRIPURA,0,2017,4,14,1,2,NA,Summer,0
114,02-04-2017,2,UTTAR PRADESH,22,2017,4,14,1,2,NA,Summer,0
115,02-04-2017,2,WEST BENGAL,116,2017,4,14,1,2,NA,Summer,0
199,03-04-2017,2,ASSAM,0,2017,4,14,2,3,NA,Summer,0
200,03-04-2017,2,BIHAR,0,2017,4,14,2,3,NA,Summer,0
201,03-04-2017,2,CHHATTISGARH,45,2017,4,14,2,3,NA,Summer,0
202,03-04-2017,2,GUJARAT,9,2017,4,14,2,3,NA,Summer,0
203,03-04-2017,2,HARYANA,0,2017,4,14,2,3,NA,Summer,0
204,03-04-2017,2,JHARKHAND,0,2017,4,14,2,3,NA,Summer,0
205,03-04-2017,2,KERALA,152,2017,4,14,2,3,NA,Summer,0
206,03-04-2017,2,KARNATAKA,203,2017,4,14,2,3,NA,Summer,0
207,03-04-2017,2,MAHARASHTRA,0,2017,4,14,2,3,NA,Summer,0
