Fes,X,segment,state,case_count,year,Month,Week,weekday,day,Festival,Season,Festival1
1,01-04-2017,2,ASSAM,0,2017,4,13,7,1,NA,Summer,0
2,01-04-2017,2,BIHAR,0,2017,4,13,7,1,NA,Summer,0
3,01-04-2017,2,CHHATTISGARH,34,2017,4,13,7,1,NA,Summer,0
4,01-04-2017,2,GUJARAT,0,2017,4,13,7,1,NA,Summer,0
5,01-04-2017,2,HARYANA,0,2017,4,13,7,1,NA,Summer,0
6,01-04-2017,2,JHARKHAND,0,2017,4,13,7,1,NA,Summer,0
7,01-04-2017,2,KERALA,23,2017,4,13,7,1,NA,Summer,0
8,01-04-2017,2,KARNATAKA,165,2017,4,13,7,1,NA,Summer,0
9,01-04-2017,2,MAHARASHTRA,0,2017,4,13,7,1,NA,Summer,0
10,01-04-2017,2,MADHYA PRADESH,36,2017,4,13,7,1,NA,Summer,0
11,01-04-2017,2,ORISSA,111,2017,4,13,7,1,NA,Summer,0
12,01-04-2017,2,PUNJAB,0,2017,4,13,7,1,NA,Summer,0
13,01-04-2017,2,TAMIL NADU,458,2017,4,13,7,1,NA,Summer,0
14,01-04-2017,2,TRIPURA,0,2017,4,13,7,1,NA,Summer,0
15,01-04-2017,2,UTTAR PRADESH,27,2017,4,13,7,1,NA,Summer,0
16,01-04-2017,2,WEST BENGAL,43,2017,4,13,7,1,NA,Summer,0
17,02-04-2017,2,ASSAM,0,2017,4,14,1,2,NA,Summer,0
18,02-04-2017,2,BIHAR,0,2017,4,14,1,2,NA,Summer,0
19,02-04-2017,2,CHHATTISGARH,37,2017,4,14,1,2,NA,Summer,0
20,02-04-2017,2,GUJARAT,5,2017,4,14,1,2,NA,Summer,0
21,02-04-2017,2,HARYANA,0,2017,4,14,1,2,NA,Summer,0
22,02-04-2017,2,JHARKHAND,0,2017,4,14,1,2,NA,Summer,0
23,02-04-2017,2,KERALA,6,2017,4,14,1,2,NA,Summer,0
24,02-04-2017,2,KARNATAKA,89,2017,4,14,1,2,NA,Summer,0
25,02-04-2017,2,MAHARASHTRA,0,2017,4,14,1,2,NA,Summer,0
26,02-04-2017,2,MADHYA PRADESH,0,2017,4,14,1,2,NA,Summer,0
27,02-04-2017,2,ORISSA,148,2017,4,14,1,2,NA,Summer,0
28,02-04-2017,2,PUNJAB,0,2017,4,14,1,2,NA,Summer,0
29,02-04-2017,2,TAMIL NADU,182,2017,4,14,1,2,NA,Summer,0
30,02-04-2017,2,TRIPURA,0,2017,4,14,1,2,NA,Summer,0
31,02-04-2017,2,UTTAR PRADESH,22,2017,4,14,1,2,NA,Summer,0
32,02-04-2017,2,WEST BENGAL,116,2017,4,14,1,2,NA,Summer,0
33,03-04-2017,2,ASSAM,0,2017,4,14,2,3,NA,Summer,0
34,03-04-2017,2,BIHAR,0,2017,4,14,2,3,NA,Summer,0
35,03-04-2017,2,CHHATTISGARH,45,2017,4,14,2,3,NA,Summer,0
36,03-04-2017,2,GUJARAT,9,2017,4,14,2,3,NA,Summer,0
